Date,Open,High,Low,Close,Volume,Count
10/31/2013,47.16,52,46.5,50.2,248809006,764
11/1/2013,50.85,52.09,49.72,49.75,95032876,763
11/4/2013,49.36,49.75,48.02,48.22,80371218,762
11/5/2013,47.79,50.18,47.51,50.1,76835006,761
11/6/2013,50.26,50.45,48.71,49.12,67889337,760
11/7/2013,49.24,49.87,47.3,47.56,97127618,759
11/8/2013,47.81,48.65,47.25,47.53,70731178,758
11/11/2013,47.04,47.53,45.73,46.2,80909626,757
11/12/2013,46,47.37,45.83,46.6,68195832,756
11/13/2013,46.23,48.74,46.06,48.71,79245346,755
11/14/2013,48.7,49.57,48.03,48.99,75117049,754
11/15/2013,49.11,49.48,48.71,49.01,42452937,753
11/18/2013,48.47,48.84,45.8,45.83,85909884,752
11/19/2013,46.26,47,45.72,46.36,75602413,751
11/20/2013,46.61,47.55,46.31,46.43,53932698,750
11/21/2013,46.99,47.46,46.68,46.7,34886170,749
11/22/2013,47.04,47.27,45.96,46.23,40545375,748
11/25/2013,46.36,46.65,44.04,44.82,82565324,747
11/26/2013,44.66,46.17,43.55,45.89,82016490,746
11/27/2013,45.97,46.67,45.53,46.49,44993195,745
11/29/2013,46.75,47.21,46.5,47.01,22953916,744
12/2/2013,46.9,47.54,46.26,47.06,50773647,743
12/3/2013,46.75,47.2,46.29,46.73,32085905,742
12/4/2013,46.46,48.77,46.26,48.62,60890176,741
12/5/2013,48.15,48.7,47.87,48.34,43855036,740
12/6/2013,48.98,49.39,47.71,47.94,42937659,739
12/9/2013,48.06,48.97,47.74,48.84,36055891,738
12/10/2013,48.62,50.77,48.54,50.24,68478561,737
12/11/2013,50.56,50.77,49.01,49.38,65776366,736
12/12/2013,51.03,52.07,50.66,51.83,92723034,735
12/13/2013,51.61,53.5,51.34,53.32,82640992,734
12/16/2013,53.27,54.5,52.91,53.81,85118518,733
12/17/2013,54.75,55.18,54.24,54.86,78751463,732
12/18/2013,55.57,55.89,53.75,55.57,76003479,731
12/19/2013,54.34,55.19,53.95,55.05,89825393,730
12/20/2013,54.91,55.15,54.23,55.12,239823912,729
12/23/2013,55.5,58.32,55.45,57.77,98296983,728
12/24/2013,58.27,58.58,56.91,57.96,46617754,727
12/26/2013,58.32,58.38,57.37,57.73,55101367,726
12/27/2013,57.48,57.68,55.25,55.44,60465751,725
12/30/2013,54.93,55.18,53.43,53.71,68307317,724
12/31/2013,54.12,54.86,53.91,54.65,43152127,723
1/2/2014,54.83,55.22,54.19,54.71,43257622,722
1/3/2014,55.02,55.65,54.53,54.56,38287706,721
1/6/2014,54.42,57.26,54.05,57.2,68974359,720
1/7/2014,57.7,58.55,57.22,57.92,77329009,719
1/8/2014,57.6,58.41,57.23,58.23,56800776,718
1/9/2014,58.65,58.96,56.65,57.22,92349222,717
1/10/2014,57.13,58.3,57.06,57.94,42529258,716
1/13/2014,57.91,58.25,55.38,55.91,63106519,715
1/14/2014,56.46,57.78,56.1,57.74,37590987,714
1/15/2014,57.98,58.57,57.27,57.6,33730619,713
1/16/2014,57.26,58.02,56.83,57.19,34599775,712
1/17/2014,57.3,57.82,56.07,56.3,40883205,711
1/21/2014,56.6,58.58,56.5,58.51,48734147,710
1/22/2014,58.85,59.31,57.1,57.51,61495880,709
1/23/2014,56.37,56.68,55.69,56.63,47996403,708
1/24/2014,56.15,56.42,54.4,54.45,55545338,707
1/27/2014,54.73,54.94,51.85,53.55,74142331,706
1/28/2014,54.02,55.28,54,55.14,48364998,705
1/29/2014,54.61,54.95,53.19,53.53,98089932,704
1/30/2014,62.12,62.5,60.46,61.08,150438699,703
1/31/2014,60.47,63.37,60.17,62.57,87930298,702
2/3/2014,63.03,63.77,60.7,61.48,75105994,701
2/4/2014,62.05,63.14,61.82,62.75,46064897,700
2/5/2014,62.74,63.16,61.27,62.19,53032420,699
2/6/2014,61.46,62.78,61.46,62.16,42153754,698
2/7/2014,62.27,64.57,62.22,64.32,60835746,697
2/10/2014,64.3,64.49,63.47,63.55,43736562,696
2/11/2014,63.75,65,63.35,64.85,45746832,695
2/12/2014,64.92,65.06,64.05,64.45,47409857,694
2/13/2014,64.18,67.33,64.05,67.33,62013396,693
2/14/2014,67.5,67.58,66.72,67.09,36786427,692
2/18/2014,66.94,67.54,66.07,67.3,43862297,691
2/19/2014,67.05,69.08,67,68.06,64258631,690
2/20/2014,67.73,70.11,65.73,69.63,131043748,689
2/21/2014,69.69,69.96,68.45,68.59,70991892,688
2/24/2014,68.74,71.44,68.54,70.78,76951946,687
2/25/2014,70.95,71,69.45,69.85,52189031,686
2/26/2014,70.19,71.22,68.85,69.26,55400399,685
2/27/2014,69.34,70.01,68.87,68.94,41695855,684
2/28/2014,69.47,69.88,67.38,68.46,66900863,683
3/3/2014,66.96,68.05,66.51,67.41,56900444,682
3/4/2014,68.66,68.9,67.62,68.8,42164222,681
3/5/2014,69.69,71.97,69.62,71.57,74649486,680
3/6/2014,71.88,71.89,70.25,70.84,46126260,679
3/7/2014,71.08,71.18,69.47,69.8,38985763,678
3/10/2014,70.77,72.15,70.51,72.03,59949746,677
3/11/2014,72.5,72.59,69.96,70.1,59615238,676
3/12/2014,69.86,71.35,69,70.88,46400431,675
3/13/2014,71.29,71.35,68.15,68.83,57091157,674
3/14/2014,68.49,69.43,67.46,67.72,48226824,673
3/17/2014,68.18,68.95,66.62,68.74,52196699,672
3/18/2014,68.76,69.6,68.3,69.19,40827226,671
3/19/2014,69.17,69.29,67.46,68.24,43980558,670
3/20/2014,68.01,68.23,66.82,66.97,44438500,669
3/21/2014,67.53,67.92,66.18,67.24,60041228,668
3/24/2014,67.19,67.36,63.36,64.1,85695872,667
3/25/2014,64.89,66.19,63.78,64.89,68785500,666
3/26/2014,64.74,64.95,60.37,60.38,97689774,665
3/27/2014,60.51,61.9,57.98,60.97,112649694,664
3/28/2014,61.34,61.95,59.34,60.01,67051528,663
3/31/2014,60.78,61.52,59.87,60.24,53011205,662
4/1/2014,60.46,62.66,60.24,62.62,59291210,661
4/2/2014,63.21,63.91,62.21,62.72,66276613,660
4/3/2014,62.55,63.17,59.13,59.49,83859330,659
4/4/2014,59.94,60.2,56.32,56.75,125465774,658
4/7/2014,55.9,58,55.44,56.95,108487569,657
4/8/2014,57.68,58.71,57.17,58.19,78835935,656
4/9/2014,59.63,62.46,59.19,62.41,100215307,655
4/10/2014,63.08,63.18,58.68,59.16,114987616,654
4/11/2014,57.6,60.31,57.31,58.53,91451960,653
4/14/2014,60.09,60.45,57.78,58.89,72324603,652
4/15/2014,59.29,59.68,55.88,59.09,108622706,651
4/16/2014,59.79,60.19,57.74,59.72,78773521,650
4/17/2014,59.3,60.58,58.72,58.94,88040346,649
4/21/2014,59.46,61.24,59.15,61.24,60363619,648
4/22/2014,62.65,63.44,62.22,63.03,60631312,647
4/23/2014,63.45,63.48,61.26,61.36,96564750,646
4/24/2014,63.6,63.65,59.77,60.87,138769345,645
4/25/2014,59.97,60.01,57.57,57.71,92501529,644
4/28/2014,58.05,58.31,54.66,56.14,107757756,643
4/29/2014,56.09,58.28,55.84,58.15,75557202,642
4/30/2014,57.58,59.85,57.16,59.78,76093004,641
5/1/2014,60.43,62.28,60.21,61.15,82428606,640
5/2/2014,61.3,61.89,60.18,60.46,54189197,639
5/5/2014,59.67,61.35,59.18,61.22,46057411,638
5/6/2014,60.98,61.15,58.49,58.53,55900809,637
5/7/2014,58.77,59.3,56.26,57.39,78587247,636
5/8/2014,57.23,58.82,56.5,56.76,61251053,635
5/9/2014,56.85,57.65,56.38,57.24,52583858,634
5/12/2014,57.98,59.9,57.98,59.83,48575487,633
5/13/2014,59.66,60.89,59.51,59.83,48525476,632
5/14/2014,59.53,60.45,58.95,59.23,47428583,631
5/15/2014,59.26,59.38,57.52,57.92,56813940,630
5/16/2014,58.31,58.45,57.31,58.02,47933075,629
5/19/2014,57.89,59.56,57.57,59.21,43033925,628
5/20/2014,59.5,60.19,58.18,58.56,53931469,627
5/21/2014,58.56,60.5,58.25,60.49,58991505,626
5/22/2014,60.94,61.48,60.4,60.52,54200116,625
5/23/2014,60.41,61.45,60.15,61.35,38293993,624
5/27/2014,61.62,63.51,61.57,63.48,55681663,623
5/28/2014,63.39,64.14,62.62,63.51,47795088,622
5/29/2014,63.84,64.3,63.51,63.83,42699670,621
5/30/2014,63.95,64.17,62.56,63.3,45283577,620
6/2/2014,63.23,63.59,62.05,63.08,35995537,619
6/3/2014,62.62,63.42,62.32,62.87,32216707,618
6/4/2014,62.45,63.59,62.07,63.34,36513991,617
6/5/2014,63.66,64.36,62.82,63.19,47352368,616
6/6/2014,63.37,63.48,62.15,62.5,42442096,615
6/9/2014,62.4,63.34,61.79,62.88,37617413,614
6/10/2014,63.53,65.82,63.5,65.77,69338140,613
6/11/2014,65.32,65.8,64.9,65.78,44241926,612
6/12/2014,65.85,66.47,64.06,64.29,55729828,611
6/13/2014,64.7,64.97,63.83,64.5,29418910,610
6/16/2014,64.16,64.88,63.75,64.19,31045811,609
6/17/2014,64.1,64.88,63.93,64.4,27714816,608
6/18/2014,64.49,65.75,64.05,65.6,35570154,607
6/19/2014,65.46,65.58,64.21,64.34,34245182,606
6/20/2014,64.46,64.81,63.35,64.5,46466073,605
6/23/2014,64.32,65.66,64.22,65.37,34560121,604
6/24/2014,65.36,67.17,65.27,65.72,57334867,603
6/25/2014,65.58,67.48,65.57,67.44,44308249,602
6/26/2014,68,68,66.9,67.13,47713944,601
6/27/2014,67.31,67.7,66.84,67.6,46460627,600
6/30/2014,67.46,67.92,67.13,67.29,27201749,599
7/1/2014,67.58,68.44,67.39,68.06,33243166,598
7/2/2014,68.04,68.3,65.79,66.45,41895220,597
7/3/2014,66.86,67,65.76,66.29,25203215,596
7/7/2014,66.3,66.57,65.12,65.29,28745099,595
7/8/2014,65.06,65.56,62.21,62.76,68926036,594
7/9/2014,63.41,65.12,63.15,64.97,51431582,593
7/10/2014,63.31,65.34,63.05,64.87,44421915,592
7/11/2014,65.28,66.59,64.79,66.34,39212022,591
7/14/2014,67.13,68.17,66.9,67.9,38536924,590
7/15/2014,67.96,68.09,66.26,67.16,44292944,589
